STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_DPL,FLAG_P_G,STNAME
MN,2009,TR,,,,,,,,,,,,,,,,Minnesota
MS,2009,TR,273,189,181,137,150,159,249,209,201,41,31,21,6,A,A,Mississippi
MO,2009,TR,,,,,,,,,,,,,,,,Missouri
MT,2009,TR,,,,,,,,,,,,,,,,Montana
NE,2009,TR,,,,,,,,,,,,,,,,Nebraska
NV,2009,TR,,,,,,,,,,,,,,,,Nevada
NH,2009,TR,139,135,133,99,117,132,89,108,83,94,58,67,56,A,A,New Hampshire
NJ,2009,TR,814,535,438,435,374,363,303,254,296,221,186,141,678,A,A,New Jersey
NM,2009,TR,196,200,209,247,221,203,196,175,240,207,172,146,126,A,A,New Mexico
NY,2009,TR,,,,,,,,,,,,,,,,New York
NC,2009,TR,,,,,,,,,,,,,,,,North Carolina
ND,2009,TR,,,,,,,,,,,,,,,,North Dakota
OH,2009,TR,,,,,,,,,,,,,,,,Ohio
OK,2009,TR,,,,,,,,,,,,,,,,Oklahoma
OR,2009,TR,,,,,,,,,,,,,,,,Oregon
PA,2009,TR,,,,,,,,,,,,,,,,Pennsylvania
RI,2009,TR,,,,,,,,,,,,,,,,Rhode Island
SC,2009,TR,,,,,,,,,,,,,,,,South Carolina
SD,2009,TR,,,,,,,,,,,,,,,,South Dakota
TN,2009,TR,,,,,,,,,,,,,,,,Tennessee
TX,2009,TR,,,,,,,,,,,,,,,,Texas
UT,2009,TR,,,,,,,,,,,,,,,,Utah
VT,2009,TR,148,120,143,123,121,119,123,103,102,93,82,34,51,A,A,Vermont
VA,2009,TR,,,,,,,,,,,,,,,,Virginia
WA,2009,TR,,,,,,,,,,,,,,,,Washington
WV,2009,TR,111,101,82,107,75,43,47,43,68,31,37,20,24,A,A,West Virginia
WI,2009,TR,,,,,,,,,,,,,,,,Wisconsin
WY,2009,TR,92,76,93,98,77,84,93,81,78,90,73,54,48,A,A,Wyoming
AL,2010,HP,13,11,10,9,5,9,11,11,5,3,4,4,7,A,A,Alabama
AK,2010,HP,233,220,202,222,184,213,193,189,190,206,186,211,141,A,A,Alaska
AZ,2010,HP,240,197,179,179,169,171,172,149,153,155,143,147,119,A,A,Arizona
AR,2010,HP,198,191,186,165,176,165,146,149,159,145,107,67,63,A,A,Arkansas
CA,2010,HP,2601,2551,2601,2572,2655,2743,2714,2887,2821,3114,3085,3161,2588,A,A,California
CO,2010,HP,122,152,122,120,132,140,141,143,137,148,125,155,117,A,A,Colorado
CT,2010,HP,15,24,11,24,22,23,31,10,23,26,18,19,17,A,A,Connecticut
DE,2010,HP,6,1,1,4,3,3,2,6,5,2,1,3,,A,,Delaware
DC,2010,HP,7,6,10,4,4,4,2,4,4,4,3,1,4,A,A,District of Columbia
FL,2010,HP,329,170,204,162,209,194,191,212,238,212,173,193,158,A,A,Florida
GA,2010,HP,136,118,112,108,119,124,136,123,163,104,103,86,70,A,A,Georgia
HI,2010,HP,5472,5169,5127,4796,4889,4821,4591,4238,5021,4225,3740,3209,3204,A,A,Hawaii
ID,2010,HP,81,64,82,73,65,68,78,59,93,73,87,85,87,A,A,Idaho
IL,2010,HP,179,153,111,123,133,122,176,171,193,221,167,203,165,A,A,Illinois
IN,2010,HP,34,33,40,29,35,27,40,46,37,50,33,45,40,A,A,Indiana
IA,2010,HP,57,56,51,57,58,54,38,48,41,47,35,41,36,A,A,Iowa
KS,2010,HP,58,58,59,44,48,64,64,56,50,57,48,51,47,A,A,Kansas
KY,2010,HP,43,32,30,42,27,22,29,24,31,22,27,22,17,A,A,Kentucky
LA,2010,HP,20,42,25,31,29,30,21,24,24,32,19,9,9,A,A,Louisiana
ME,2010,HP,7,7,11,4,9,5,6,8,9,9,8,9,8,A,A,Maine
